key,method,percent,rho,seed,clean,aa,source
align_p100_r0_s0,align,100,0,0,85.61,47.65,new_study_full_AA
align_p100_r0_s1,align,100,0,1,85.15,48.55,new_study_full_AA
align_p100_r0_s2,align,100,0,2,85.09,47.95,new_study_full_AA
align_p100_r0p0005_s0,align,100,0.0005,0,85.36,48.26,new_study_full_AA
align_p100_r0p0005_s1,align,100,0.0005,1,85.47,48.36,new_study_full_AA
align_p100_r0p0005_s2,align,100,0.0005,2,85.61,47.76,new_study_full_AA
align_p100_r0p001_s0,align,100,0.001,0,85.62,48.26,new_study_full_AA
align_p100_r0p001_s1,align,100,0.001,1,85.64,48.38,new_study_full_AA
align_p100_r0p001_s2,align,100,0.001,2,85.29,48.65,new_study_full_AA
align_p100_r0p002_s0,align,100,0.002,0,86.03,49.06,archived_final126
align_p100_r0p002_s1,align,100,0.002,1,85.43,48.85,archived_final126
align_p100_r0p002_s2,align,100,0.002,2,85.25,49.15,archived_final126
align_p100_r0p003_s0,align,100,0.003,0,85.83,49.19,new_study_full_AA
align_p100_r0p003_s1,align,100,0.003,1,85.24,49.38,new_study_full_AA
align_p100_r0p003_s2,align,100,0.003,2,85.64,48.91,new_study_full_AA
align_p100_r0p005_s0,align,100,0.005,0,85.61,49.48,new_study_full_AA
align_p100_r0p005_s1,align,100,0.005,1,86.21,48.75,new_study_full_AA
align_p100_r0p005_s2,align,100,0.005,2,85.36,49.65,new_study_full_AA
align_p100_r0p01_s0,align,100,0.01,0,85.01,49.52,new_study_full_AA
align_p100_r0p01_s1,align,100,0.01,1,84.93,50.26,new_study_full_AA
align_p100_r0p01_s2,align,100,0.01,2,85.24,49.68,new_study_full_AA
raat_p100_rna_s0,raat,100,,0,85.76,47.83,archived_final126
raat_p100_rna_s1,raat,100,,1,85.71,47.6,archived_final126
raat_p100_rna_s2,raat,100,,2,85.98,47.8,archived_final126
raat_p50_rna_s0,raat,50,,0,81.33,41.82,new_study_full_AA
raat_p50_rna_s1,raat,50,,1,81.15,41.87,new_study_full_AA
raat_p50_rna_s2,raat,50,,2,81.16,42.28,new_study_full_AA
align_p50_r0p002_s0,align,50,0.002,0,81.85,43.1,new_study_full_AA
align_p50_r0p002_s1,align,50,0.002,1,82.0,43.46,new_study_full_AA
align_p50_r0p002_s2,align,50,0.002,2,80.82,43.36,new_study_full_AA
raat_p20_rna_s0,raat,20,,0,68.91,31.62,new_study_full_AA
raat_p20_rna_s1,raat,20,,1,69.09,31.41,new_study_full_AA
raat_p20_rna_s2,raat,20,,2,67.42,31.08,new_study_full_AA
align_p20_r0p002_s0,align,20,0.002,0,68.53,33.44,new_study_full_AA
align_p20_r0p002_s1,align,20,0.002,1,72.93,33.5,new_study_full_AA
align_p20_r0p002_s2,align,20,0.002,2,69.82,33.63,new_study_full_AA
raat_p10_rna_s0,raat,10,,0,64.96,27.34,new_study_full_AA
raat_p10_rna_s1,raat,10,,1,67.3,27.95,new_study_full_AA
raat_p10_rna_s2,raat,10,,2,58.18,28.45,new_study_full_AA
align_p10_r0p002_s0,align,10,0.002,0,65.56,29.43,new_study_full_AA
align_p10_r0p002_s1,align,10,0.002,1,61.01,27.59,new_study_full_AA
align_p10_r0p002_s2,align,10,0.002,2,58.04,28.21,new_study_full_AA
