arch,norm,dataset,method,candidate,available_seeds,record_count,status,evidence
r18,Linf,cifar10,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar10,Ours,reference,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,cifar100,Ours,e15ri09,"0,1,2",3,complete_records,training_and_full_aa_checked
r18,Linf,tinyimagenet,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,Linf,tinyimagenet,Ours,g19rt03,"0,1,2",3,complete_records,training_and_full_aa_checked
r18,L2,cifar10,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar10,Ours,reference,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,cifar100,Ours,2108,"0,1,2",3,complete_records,training_and_full_aa_checked
r18,L2,tinyimagenet,PGD-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,TRADES,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,MART,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,Cons-AT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,RAAT,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,RAAT++,recorded_baseline,"0,1,2",3,complete_records,archived_per_seed_table
r18,L2,tinyimagenet,Ours,e15r211,"0,1,2",3,complete_records,training_and_full_aa_checked
wrn,Linf,cifar10,PGD-AT,recorded_baseline,,0,missing_records,
wrn,Linf,cifar10,TRADES,recorded_baseline,,0,missing_records,
wrn,Linf,cifar10,MART,recorded_baseline,,0,missing_records,
wrn,Linf,cifar10,Cons-AT,recorded_baseline,,0,missing_records,
wrn,Linf,cifar10,RAAT,recorded_baseline,,0,missing_records,
