arch,norm,dataset,method,candidate,seed,clean,aa,evidence,source_sha256
r18,L2,cifar10,Cons-AT,recorded_baseline,0,90.55,69.14,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,Cons-AT,recorded_baseline,1,89.34,69.24,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,Cons-AT,recorded_baseline,2,89.18,69.36,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,MART,recorded_baseline,0,87.14,68.57,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,MART,recorded_baseline,1,86.56,68.46,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,MART,recorded_baseline,2,86.4,68.34,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,Ours,reference,0,90.12,69.74,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,Ours,reference,1,89.75,69.75,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,Ours,reference,2,90.06,69.35,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,PGD-AT,recorded_baseline,0,89.5,68.33,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,PGD-AT,recorded_baseline,1,89.54,68.47,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,PGD-AT,recorded_baseline,2,89.63,68.75,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT,recorded_baseline,0,90.14,68.51,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT,recorded_baseline,1,90.16,68.35,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT,recorded_baseline,2,90.16,68.13,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT++,recorded_baseline,0,87.08,68.96,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT++,recorded_baseline,1,86.9,69.01,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,RAAT++,recorded_baseline,2,87.31,68.96,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,TRADES,recorded_baseline,0,86.6,69.66,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,TRADES,recorded_baseline,1,86.73,69.38,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar10,TRADES,recorded_baseline,2,86.28,69.52,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,Cons-AT,recorded_baseline,0,65.96,40.47,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,Cons-AT,recorded_baseline,1,65.44,40.11,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,Cons-AT,recorded_baseline,2,66.97,40.18,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,MART,recorded_baseline,0,61.73,40.82,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,MART,recorded_baseline,1,61.32,41.36,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,MART,recorded_baseline,2,61.57,40.93,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,Ours,2108,0,67.84,40.35,training_and_full_aa_checked,44ec8ef05a801c407226325999eecca8d107485ac5e1e0e098061c9f1dc6386c
r18,L2,cifar100,Ours,2108,1,68.07,41.05,training_and_full_aa_checked,564867770a7578931b832c57aa30da20d3b4d6b6be2bd3303f5479d274e371a1
r18,L2,cifar100,Ours,2108,2,67.56,40.41,training_and_full_aa_checked,b8c66cd532cc4f6618da8a2f5ee5f5a2e2e92c39eee83cfd367e30c7237c2784
r18,L2,cifar100,PGD-AT,recorded_baseline,0,65.74,39.38,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,PGD-AT,recorded_baseline,1,66.16,39.4,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,PGD-AT,recorded_baseline,2,65.49,39.66,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT,recorded_baseline,0,66.83,38.71,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT,recorded_baseline,1,66.78,38.43,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT,recorded_baseline,2,66.85,38.68,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT++,recorded_baseline,0,61.72,40.51,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT++,recorded_baseline,1,60.42,40.82,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,RAAT++,recorded_baseline,2,60.17,40.89,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,TRADES,recorded_baseline,0,62.42,40.45,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
