arch,norm,dataset,method,candidate,clean_mean,clean_std,aa_mean,aa_std,mean_mean,mean_std,G_of_mean_accuracies,per_seed_G_mean,per_seed_G_std
r18,Linf,cifar10,PGD-AT,recorded_baseline,84.11,0.16512621435334776,48.276666666666664,0.23669013968102431,66.19333333333333,0.09800793618659803,63.7224484254437,63.722138524852085,0.13062090017040084
r18,Linf,cifar10,TRADES,recorded_baseline,81.3,0.06531972647421669,49.623333333333335,0.06128258770283648,65.46166666666666,0.06328945848682553,63.51674582344407,63.51674433365282,0.0647244419292369
r18,Linf,cifar10,MART,recorded_baseline,78.46666666666667,0.4360682923070162,47.980000000000004,0.03559026084010394,63.223333333333336,0.22554871363459825,61.35821596711126,61.35799900590115,0.18071522302623783
r18,Linf,cifar10,Cons-AT,recorded_baseline,84.24666666666667,0.7100391225528051,48.50333333333334,0.1673983937265298,66.375,0.2817800560721065,63.92373702745762,63.922654034069865,0.1765443493250448
r18,Linf,cifar10,RAAT,recorded_baseline,85.81666666666666,0.11728408057173079,47.74333333333333,0.10208928554075536,66.78,0.0965228815704682,64.00916904805297,64.00914307426031,0.09934568707305678
r18,Linf,cifar10,RAAT++,recorded_baseline,79.48666666666666,0.3904128868547042,48.486666666666665,0.1111555466702202,63.986666666666665,0.1718688130199575,62.080943220211395,62.08062178439583,0.12883657399045942
r18,Linf,cifar10,Ours,reference,85.57000000000001,0.3334666400106609,49.02,0.12569805089976446,67.295,0.1784656829757476,64.76605129232445,64.76587597523542,0.15135772336979914
r18,Linf,cifar100,PGD-AT,recorded_baseline,58.91,0.555397755366968,24.973333333333333,0.31982634176829255,41.94166666666666,0.4353606423287342,38.355952167384224,38.35587242447914,0.42404861012332884
r18,Linf,cifar100,TRADES,recorded_baseline,57.763333333333335,0.3816047984790328,25.196666666666665,0.19136933459209796,41.480000000000004,0.1136515141415512,38.1502746458732,38.14936311189548,0.06527498306928828
r18,Linf,cifar100,MART,recorded_baseline,52.876666666666665,0.25849994627121975,25.94,0.05887840577551933,39.40833333333333,0.14214624706813783,37.03539838226846,37.035299644793156,0.11216158158586365
r18,Linf,cifar100,Cons-AT,recorded_baseline,59.04666666666667,0.2538153309440185,25.293333333333333,0.1699673171197603,42.17,0.081955272354295,38.64565981093119,38.64513697086605,0.08478503996692048
r18,Linf,cifar100,RAAT,recorded_baseline,60.583333333333336,0.1189771219838314,23.376666666666665,0.2995923155816179,41.980000000000004,0.13083067937860238,37.632916295297775,37.6320069442053,0.22521105201705446
r18,Linf,cifar100,RAAT++,recorded_baseline,53.95666666666666,0.22365648262955243,25.57,0.10708252269472733,39.763333333333335,0.09885455084224613,37.143935799355816,37.14369905346696,0.0799205364358818
