arch,norm,dataset,method,reported_clean_mean,reported_clean_std,reported_aa_mean,reported_aa_std,reported_mean_mean,reported_mean_std,reported_G,precision
wrn,Linf,cifar10,PGD-AT,86.96,0.11,51.48,0.22,69.22,0.1,66.90815196969649,rounded_aggregate_only
wrn,Linf,cifar10,TRADES,85.11,0.12,53.37,0.14,69.24,0.1,67.39674101913236,rounded_aggregate_only
wrn,Linf,cifar10,MART,83.18,0.25,51.88,0.06,67.53,0.1,65.69153979014345,rounded_aggregate_only
wrn,Linf,cifar10,Cons-AT,86.96,0.14,51.93,0.07,69.45,0.09,67.19994642855006,rounded_aggregate_only
wrn,Linf,cifar10,RAAT,87.84,0.12,50.6,0.23,69.22,0.18,66.66861330491284,rounded_aggregate_only
wrn,Linf,cifar10,RAAT++,83.49,0.72,51.89,0.21,67.69,0.45,65.82018003621685,rounded_aggregate_only
wrn,Linf,cifar100,PGD-AT,62.16,0.09,27.62,0.36,44.89,0.14,41.43499969832267,rounded_aggregate_only
wrn,Linf,cifar100,TRADES,61.27,0.27,27.88,0.29,44.58,0.09,41.33046818026624,rounded_aggregate_only
wrn,Linf,cifar100,MART,57.86,0.2,28.39,0.18,43.13,0.11,40.52956205043425,rounded_aggregate_only
wrn,Linf,cifar100,Cons-AT,62.93,0.13,28.09,0.04,45.51,0.07,42.04406854718035,rounded_aggregate_only
wrn,Linf,cifar100,RAAT,65.07,0.18,26.41,0.39,45.74,0.28,41.45477897661499,rounded_aggregate_only
wrn,Linf,cifar100,RAAT++,56.6,1.93,27.92,0.16,42.26,0.89,39.752635132780824,rounded_aggregate_only
wrn,Linf,tinyimagenet,PGD-AT,52.46,1.1,20.05,0.34,36.26,0.72,32.431820793782144,rounded_aggregate_only
wrn,Linf,tinyimagenet,TRADES,53.14,0.05,20.08,0.25,36.61,0.15,32.665749646992644,rounded_aggregate_only
wrn,Linf,tinyimagenet,MART,47.23,0.15,21.03,0.13,34.13,0.1,31.51581983702788,rounded_aggregate_only
wrn,Linf,tinyimagenet,Cons-AT,51.86,0.29,20.69,0.28,36.28,0.16,32.75642532389638,rounded_aggregate_only
wrn,Linf,tinyimagenet,RAAT,54.01,0.27,18.74,0.45,36.38,0.36,31.81426409647094,rounded_aggregate_only
wrn,Linf,tinyimagenet,RAAT++,46.6,0.15,20.51,0.12,33.56,0.06,30.915465385466867,rounded_aggregate_only
wrn,L2,cifar10,PGD-AT,91.26,0.03,70.48,0.23,80.87,0.12,80.19978054832819,rounded_aggregate_only
wrn,L2,cifar10,TRADES,89.1,0.19,71.89,0.1,80.5,0.05,80.03373663649599,rounded_aggregate_only
wrn,L2,cifar10,MART,89.69,0.07,71.84,0.05,80.76,0.02,80.27035318223037,rounded_aggregate_only
wrn,L2,cifar10,Cons-AT,91.69,0.24,71.2,0.17,81.45,0.1,80.79806928386347,rounded_aggregate_only
wrn,L2,cifar10,RAAT,91.5,0.2,70.23,0.17,80.86,0.14,80.16261597527865,rounded_aggregate_only
wrn,L2,cifar10,RAAT++,88.86,0.17,71.23,0.34,80.05,0.26,79.55814100392242,rounded_aggregate_only
wrn,L2,cifar100,PGD-AT,69.13,0.32,41.99,0.16,55.56,0.09,53.877348672702894,rounded_aggregate_only
wrn,L2,cifar100,TRADES,65.12,0.12,43.02,0.13,54.07,0.02,52.92884279861029,rounded_aggregate_only
wrn,L2,cifar100,MART,64.42,0.07,43.51,0.2,53.97,0.1,52.94255566177364,rounded_aggregate_only
wrn,L2,cifar100,Cons-AT,69.33,0.36,42.43,0.24,55.88,0.13,54.23718189581756,rounded_aggregate_only
wrn,L2,cifar100,RAAT,70.69,0.21,41.14,0.21,55.92,0.16,53.927605175828084,rounded_aggregate_only
wrn,L2,cifar100,RAAT++,63.38,0.57,43.26,0.27,53.32,0.39,52.36237962507052,rounded_aggregate_only
wrn,L2,tinyimagenet,PGD-AT,63.79,0.25,45.24,0.27,54.51,0.11,53.720197319071715,rounded_aggregate_only
wrn,L2,tinyimagenet,TRADES,62.18,0.32,45.99,0.04,54.08,0.16,53.47577208418781,rounded_aggregate_only
wrn,L2,tinyimagenet,MART,62.2,0.07,46.5,0.08,54.35,0.07,53.78010784667506,rounded_aggregate_only
wrn,L2,tinyimagenet,Cons-AT,64.9,0.26,46.4,0.18,55.65,0.14,54.87585990214641,rounded_aggregate_only
wrn,L2,tinyimagenet,RAAT,64.97,0.26,44.15,0.3,54.56,0.08,53.55768385582035,rounded_aggregate_only
wrn,L2,tinyimagenet,RAAT++,61.63,0.37,46.27,0.46,53.95,0.42,53.400562731117354,rounded_aggregate_only
